# contract_addr, #patch, gas_incr, inst_incr, size_incr, orig_size
0x063d4f5003c22faa0c3d47436c3a8fee3285a22c 4 262 143 143 12554
0x0643b1b93df3a0e8870091824931b0f50412e77d 2 118 364 364 3712
0x0644a6111d472bdfcf4f12e0089ebb3f69d6bda7 11 758 430 430 18106
0x06490802a5628eea6d701d02bd7db7f42b9208dc 2 106 696 696 8008
0x06492681e66a5eae54205693098d9b6ea1f64f6c 1 112 115 115 4324
0x064c9d27aab976536b0df42b3191abf11a5fc791 15 807 1929 1929 21520
0x066117c761844012addea7cccfd22a3bf2bbfdc1 2 96 148 148 2284
0x066128b9f7557b5398db3d4ed141f2e64245ffa1 6 404 593 593 35660
0x066dd658faa8322ac778aad0ec01bd9e8a2e7b5f 7 661 477 477 6476
0x066e56bed67d982255eed4c7010c45ba64c8f48e 4 183 451 451 4520
